"Step","MIFL - test_acc5","MIFL - test_acc5__MIN","MIFL - test_acc5__MAX","Missing-modal FedAvg - test_acc5","Missing-modal FedAvg - test_acc5__MIN","Missing-modal FedAvg - test_acc5__MAX","FedMSplit - test_acc5","FedMSplit - test_acc5__MIN","FedMSplit - test_acc5__MAX","FedAvg - test_acc5","FedAvg - test_acc5__MIN","FedAvg - test_acc5__MAX"
"116","0.722","0.722","0.722","0.7793190416141236","0.7793190416141236","0.7793190416141236","0.73","0.73","0.73","0.724","0.724","0.724"
"117","0.718","0.718","0.718","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.736","0.736","0.736","0.71","0.71","0.71"
"118","0.742","0.742","0.742","0.7881462799495587","0.7881462799495587","0.7881462799495587","0.742","0.742","0.742","0.746","0.746","0.746"
"119","0.752","0.752","0.752","0.7843631778058008","0.7843631778058008","0.7843631778058008","0.728","0.728","0.728","0.724","0.724","0.724"
"120","0.762","0.762","0.762","0.7717528373266078","0.7717528373266078","0.7717528373266078","0.732","0.732","0.732","0.724","0.724","0.724"
"121","0.77","0.77","0.77","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.73","0.73","0.73","0.73","0.73","0.73"
"122","0.77","0.77","0.77","0.7730138713745272","0.7730138713745272","0.7730138713745272","0.718","0.718","0.718","0.734","0.734","0.734"
"123","0.764","0.764","0.764","0.7641866330390921","0.7641866330390921","0.7641866330390921","0.736","0.736","0.736","0.736","0.736","0.736"
"124","0.78","0.78","0.78","0.7667087011349306","0.7667087011349306","0.7667087011349306","0.716","0.716","0.716","0.72","0.72","0.72"
"125","0.772","0.772","0.772","0.7818411097099621","0.7818411097099621","0.7818411097099621","0.716","0.716","0.716","0.72","0.72","0.72"
"126","0.786","0.786","0.786","0.7805800756620429","0.7805800756620429","0.7805800756620429","0.73","0.73","0.73","0.732","0.732","0.732"
"127","0.778","0.778","0.778","0.7831021437578815","0.7831021437578815","0.7831021437578815","0.73","0.73","0.73","0.718","0.718","0.718"
"128","0.786","0.786","0.786","0.776796973518285","0.776796973518285","0.776796973518285","0.72","0.72","0.72","0.722","0.722","0.722"
"129","0.752","0.752","0.752","0.7515762925598991","0.7515762925598991","0.7515762925598991","0.722","0.722","0.722","0.714","0.714","0.714"
"130","0.784","0.784","0.784","0.7843631778058008","0.7843631778058008","0.7843631778058008","0.732","0.732","0.732","0.706","0.706","0.706"
"131","0.756","0.756","0.756","0.7831021437578815","0.7831021437578815","0.7831021437578815","0.718","0.718","0.718","0.704","0.704","0.704"
"132","0.764","0.764","0.764","0.7780580075662042","0.7780580075662042","0.7780580075662042","0.722","0.722","0.722","0.71","0.71","0.71"
"133","0.77","0.77","0.77","0.7629255989911727","0.7629255989911727","0.7629255989911727","0.736","0.736","0.736","0.7","0.7","0.7"
